Algorithm,nn,sim,imp,bin,shrink,norm,asymalpha,tvalpha,tvbeta,rweights,nDCGRendle2020,Recall,HR,Precision,MAP,MRR,ItemCoverage,ACLT,APLT,Gini,SEntropy,EFD,EPC,PopREO,PopRSP,Filename_Model,strat,val,h,t,thres,w,nb,nt,preposp,tr,k,CR
ItemKNN,50,jaccard,standard,False,0.0,True,,,,,0.161061740502724,0.1955926122544012,0.7038216560509554,0.0841295116772823,0.1067666746875214,0.2781433830800586,293.0,0.0923566878980891,0.0046178343949044,0.0566466016326286,6.7078261823955385,0.7603241468708143,0.0757615518194165,0.9826926039513671,0.9968312493746326,ItemKNN,nan,,,,,,,,,,,1.0
ItemKNN,100,cosine,standard,False,0.0,True,,,,,0.16250841634583,0.1984626406532917,0.7112526539278131,0.0860934182590233,0.1088446819385003,0.2821622964903022,248.0,0.0828025477707006,0.004140127388535,0.0548707751912325,6.659489532440046,0.7688678390967514,0.0760302523353634,0.9809801834041072,0.9971599465242303,ItemKNN,nan,,,,,,,,,,,1.0
ItemKNN,50,cosine,standard,False,0.0,True,,,,,0.1613142459036341,0.1967808220072765,0.7059447983014862,0.0854564755838641,0.1079355364351839,0.2816574596515093,278.0,0.1411889596602972,0.0070594479830148,0.0555638306088706,6.6787217227169995,0.7633591390579179,0.0754821700711753,0.9808389896716044,0.9951479997932988,ItemKNN,nan,,,,,,,,,,,1.0
ItemKNN,100,jaccard,standard,False,0.0,True,,,,,0.1630917508769312,0.1957654810039526,0.7038216560509554,0.0849256900212314,0.1093946669516011,0.285026969943211,264.0,0.0573248407643312,0.0028662420382165,0.0589536864968469,6.761278707853118,0.7772960564540973,0.0776561135343642,0.9849907564585552,0.9980354601973168,ItemKNN,nan,,,,,,,,,,,1.0
ItemKNN,250,jaccard,standard,False,0.0,True,,,,,0.1647550018272569,0.1998393135653188,0.7144373673036093,0.0869957537154989,0.1107787642169975,0.2820573190909508,265.0,0.048832271762208,0.0024416135881104,0.0608969054453005,6.8073002607768025,0.7872101555510408,0.0785651853421631,0.9853468053540564,0.9983269714272556,ItemKNN,nan,,,,,,,,,,,1.0
ItemKNN,250,cosine,standard,False,0.0,True,,,,,0.1647546736301564,0.1983867022699199,0.7123142250530785,0.0861464968152866,0.1114808716322441,0.2873425033114252,251.0,0.0626326963906581,0.0031316348195329,0.0558444731312957,6.6811371766411805,0.7765367958276048,0.0767624341529263,0.9873110661597956,0.9978531827924604,ItemKNN,nan,,,,,,,,,,,1.0
UserKNN,250,cosine,standard,False,0.0,True,,,,,0.1209490707268393,0.1425060785771418,0.6125265392781316,0.0673566878980891,0.0808691208509172,0.2284302395729157,491.0,0.7016985138004246,0.0350849256900212,0.0705309589447024,6.961406672010422,0.577667501288135,0.0562166360791857,0.9757163143697726,0.9754307735200964,UserKNN,nan,,,,,,,,,,,1.0
UserKNN,250,jaccard,standard,False,0.0,True,,,,,0.1226392080452303,0.1473429365166351,0.6231422505307855,0.0690021231422505,0.0815438592609164,0.2237064777333407,529.0,0.9076433121019108,0.0453821656050955,0.0786963875057731,7.111737526795353,0.5872497658824327,0.0572476151302866,0.9658312499701236,0.9679978982498864,UserKNN,nan,,,,,,,,,,,1.0
UserKNN,100,cosine,standard,False,0.0,True,,,,,0.1190635866149139,0.1433964734399398,0.6231422505307855,0.0671443736730361,0.0802828187234122,0.2212503810295709,519.0,0.856687898089172,0.0428343949044586,0.0917292812367497,7.356491900906292,0.580721036735325,0.0568162182791456,0.9515271341280788,0.9698466089447034,UserKNN,nan,,,,,,,,,,,1.0
UserKNN,50,jaccard,standard,False,0.0,True,,,,,0.1138602429285189,0.1388934481359155,0.613588110403397,0.0652335456475583,0.0763848359336579,0.2023745877440095,643.0,1.6794055201698517,0.0839702760084925,0.138759246386954,7.948327725140001,0.5673297227948084,0.0556546277108762,0.8932323662512984,0.9391954882634306,UserKNN,nan,,,,,,,,,,,1.0
UserKNN,50,cosine,standard,False,0.0,True,,,,,0.1115771614741296,0.1364406967341391,0.6199575371549894,0.0628450106157112,0.0743075304772655,0.2007085631030633,615.0,1.4957537154989384,0.0747876857749469,0.1334513119505956,7.895048327188688,0.5488298380324032,0.0537752052774895,0.8809631243254474,0.9461888987473772,UserKNN,nan,,,,,,,,,,,1.0
UserKNN,100,jaccard,standard,False,0.0,True,,,,,0.1208640374807256,0.146870910482613,0.6252653927813163,0.0682590233545647,0.0807315213075859,0.2209700577901017,553.0,1.040339702760085,0.0520169851380042,0.098923454968736,7.461679062829183,0.5886342769866004,0.0576133763339318,0.9444550315101912,0.9631534302508896,UserKNN,nan,,,,,,,,,,,1.0
ItemFairANN,50,cosine,,False,,,,,,,0.0488814732020146,0.050954985836202,0.3991507430997877,0.0349787685774947,0.0384455176150641,0.1152554911216739,1109.0,8.13588110403397,0.4067940552016985,0.285831374904049,8.950231798370611,0.319250125019652,0.0315525560748925,0.7618324044373209,0.6200009073635163,ItemFairANN,rank,False,12.0,23.0,0$5,1.0,,23.0,,,,0.0106922883885567
