Algorithm,nn,sim,bin,nb,nt,nDCGRendle2020,Recall,HR,Precision,MAP,MRR,ItemCoverage,ACLT,APLT,Gini,SEntropy,EFD,EPC,PopREO,PopRSP,Filename_Model,tr,k,imp,shrink,norm,asymalpha,tvalpha,tvbeta,rweights,preposp,strat,val,h,t,thres,w,CR
UserANNfaissLSH,50,cosine,False,32.0,30.0,0.0503810938687276,0.0609386286921847,0.3673036093418259,0.0308917197452229,0.0351341711821563,0.1038766366678456,735.0,3.150743099787686,0.1575371549893842,0.1562766673444326,8.101488885444827,0.266523550976625,0.0255678402445159,0.7907962566138507,0.8797641954377665,UserANNfaissLSH,,,,,,,,,,,nan,,,,,,0.7463059127933971
UserANNfaissLSH,250,cosine,False,32.0,30.0,0.0660820129928007,0.0769672398205192,0.4182590233545648,0.0382165605095541,0.0458289532445965,0.1335998464180712,546.0,1.6252653927813163,0.0812632696390658,0.0885266779837874,7.218554678893077,0.3267195911837073,0.0311555753257021,0.9062790911117228,0.9412664094302609,UserANNfaissLSH,,,,,,,,,,,nan,,,,,,0.9995627498974492
UserANNfaissLSH,100,cosine,False,32.0,30.0,0.0587430290436109,0.067175085975918,0.3906581740976645,0.0351380042462844,0.0424380223706553,0.1188082931301858,654.0,2.451167728237792,0.1225583864118895,0.1197040052834246,7.699421661276375,0.3058103101829181,0.0293346461907195,0.8489735781232832,0.9088022859863724,UserANNfaissLSH,,,,,,,,,,,nan,,,,,,0.9409092548266552
ItemANNOY,100,angular,False,,,0.0286497418561601,0.0287862861149072,0.2399150743099787,0.0156050955414012,0.0203570239908941,0.0770439684753147,204.0,7.325902335456475,0.3662951167728237,0.0544417333793579,6.633669940974714,0.1703595991479066,0.0161307891825615,0.2584169879363077,0.6698446472379547,ItemANNOY,1.0,-1.0,,,,,,,,,nan,,,,,,0.0007418397626112
ItemANNOY,50,angular,False,,,0.0286497418561601,0.0287862861149072,0.2399150743099787,0.0156050955414012,0.0203570239908941,0.0770439684753147,204.0,7.421443736730361,0.371072186836518,0.0545388273382539,6.6366469402625095,0.1703595991479066,0.0161307891825615,0.2584169879363077,0.664148122240832,ItemANNOY,1.0,-1.0,,,,,,,,,nan,,,,,,0.0007418397626112
ItemANNOY,250,angular,False,,,0.0291479146014072,0.0291401431566623,0.2409766454352441,0.0156581740976645,0.0205479868177064,0.0781055396005801,204.0,7.2834394904458595,0.3641719745222929,0.0543871180274792,6.631421258263097,0.1714578211727311,0.0162364351476425,0.2605415247106857,0.6723613200583815,ItemANNOY,1.0,-1.0,,,,,,,,,nan,,,,,,0.0007418397626112
ItemKNN,50,jaccard,False,,,0.161061740502724,0.1955926122544012,0.7038216560509554,0.0841295116772823,0.1067666746875214,0.2781433830800586,293.0,0.0923566878980891,0.0046178343949044,0.0566466016326286,6.7078261823955385,0.7603241468708143,0.0757615518194165,0.9826926039513671,0.9968312493746326,ItemKNN,,,standard,0.0,True,,,,,,nan,,,,,,1.0
ItemKNN,100,cosine,False,,,0.16250841634583,0.1984626406532917,0.7112526539278131,0.0860934182590233,0.1088446819385003,0.2821622964903022,248.0,0.0828025477707006,0.004140127388535,0.0548707751912325,6.659489532440046,0.7688678390967514,0.0760302523353634,0.9809801834041072,0.9971599465242303,ItemKNN,,,standard,0.0,True,,,,,,nan,,,,,,1.0
ItemKNN,50,cosine,False,,,0.1613142459036341,0.1967808220072765,0.7059447983014862,0.0854564755838641,0.1079355364351839,0.2816574596515093,278.0,0.1411889596602972,0.0070594479830148,0.0555638306088706,6.678721722717,0.7633591390579179,0.0754821700711753,0.9808389896716044,0.9951479997932988,ItemKNN,,,standard,0.0,True,,,,,,nan,,,,,,1.0
ItemKNN,250,jaccard,False,,,0.1647550018272569,0.1998393135653188,0.7144373673036093,0.0869957537154989,0.1107787642169975,0.2820573190909508,265.0,0.048832271762208,0.0024416135881104,0.0608969054453005,6.8073002607768025,0.7872101555510408,0.0785651853421631,0.9853468053540564,0.9983269714272556,ItemKNN,,,standard,0.0,True,,,,,,nan,,,,,,1.0
ItemKNN,100,jaccard,False,,,0.1630917508769312,0.1957654810039526,0.7038216560509554,0.0849256900212314,0.1093946669516011,0.285026969943211,264.0,0.0573248407643312,0.0028662420382165,0.0589536864968469,6.761278707853118,0.7772960564540973,0.0776561135343642,0.9849907564585552,0.9980354601973168,ItemKNN,,,standard,0.0,True,,,,,,nan,,,,,,1.0
ItemKNN,250,cosine,False,,,0.1647546736301564,0.1983867022699199,0.7123142250530785,0.0861464968152866,0.1114808716322441,0.2873425033114252,251.0,0.0626326963906581,0.0031316348195329,0.0558444731312957,6.6811371766411805,0.7765367958276048,0.0767624341529263,0.9873110661597956,0.9978531827924604,ItemKNN,,,standard,0.0,True,,,,,,nan,,,,,,1.0
ItemKNNfairness,250,cosine,False,,,0.1451284256984672,0.1751681936369078,0.6666666666666666,0.0787154989384288,0.0977806782873053,0.2547084082077722,622.0,0.7303609341825902,0.0365180467091295,0.0724643266392089,6.949324934239008,0.6913508130679755,0.068070679452733,0.9838106300575604,0.9744024828467388,ItemKNNfairness,,,,,,,,,,interactions-users,nan,,,,,,1.0
