Algorithm,nn,sim,bin,tr,k,nDCGRendle2020,Recall,HR,Precision,MAP,MRR,ItemCoverage,ACLT,APLT,Gini,SEntropy,EFD,EPC,PopREO,PopRSP,Filename_Model,CR
UserANNOY,100,angular,False,9,-1,0.1733843103755792,0.2182372972888673,0.7484076433121019,0.0937898089171974,0.1149573698755828,0.2897698684998284,281.0,0.0881104033970276,0.0044055201698513,0.0843148334665223,7.2487681740344465,0.8283429529751853,0.081907178389827,0.9902815574742274,0.9969773625796844,UserANNOY,0.1061571125265392
UserANNOY,100,angular,False,9,10,0.1733843103755792,0.2182372972888673,0.7484076433121019,0.0937898089171974,0.1149573698755828,0.2897698684998284,281.0,0.0881104033970276,0.0044055201698513,0.0843148334665223,7.2487681740344465,0.8283429529751853,0.081907178389827,0.9902815574742274,0.9969773625796844,UserANNOY,0.1061571125265392
UserANNOY,250,angular,False,9,10,0.1576228172048731,0.201437795605472,0.7133757961783439,0.0874203821656051,0.1043636678852349,0.2595400763046836,187.0,0.0010615711252653,5.307855626326964e-05,0.0607134356918025,6.769493504546095,0.7429755646015174,0.0730465171697024,1.0,0.9999636869721232,UserANNOY,0.2653927813163482
UserANNOY,50,angular,False,9,10,0.1763574770727721,0.2189164644494259,0.7622080679405521,0.0944798301486199,0.117655484757753,0.2961146253193344,402.0,0.2972399150743099,0.0148619957537154,0.1047617021075383,7.574295144724616,0.8537531476490327,0.0845214265166852,0.9521486898461232,0.9897323061783694,UserANNOY,0.0530785562632696
UserANNOY,250,angular,False,9,-1,0.1576228172048731,0.201437795605472,0.7133757961783439,0.0874203821656051,0.1043636678852349,0.2595400763046836,187.0,0.0010615711252653,5.307855626326964e-05,0.0607134356918025,6.769493504546095,0.7429755646015174,0.0730465171697024,1.0,0.9999636869721232,UserANNOY,0.2653927813163482
UserANNOY,50,angular,False,9,50,0.1763574770727721,0.2189164644494259,0.7622080679405521,0.0944798301486199,0.117655484757753,0.2961146253193344,402.0,0.2972399150743099,0.0148619957537154,0.1047617021075383,7.574295144724616,0.8537531476490327,0.0845214265166852,0.9521486898461232,0.9897323061783694,UserANNOY,0.0530785562632696
UserANNOY,50,angular,False,9,-1,0.1763574770727721,0.2189164644494259,0.7622080679405521,0.0944798301486199,0.117655484757753,0.2961146253193344,402.0,0.2972399150743099,0.0148619957537154,0.1047617021075383,7.574295144724616,0.8537531476490327,0.0845214265166852,0.9521486898461232,0.9897323061783694,UserANNOY,0.0530785562632696
UserANNOY,100,angular,False,9,25,0.1733843103755792,0.2182372972888673,0.7484076433121019,0.0937898089171974,0.1149573698755828,0.2897698684998284,281.0,0.0881104033970276,0.0044055201698513,0.0843148334665223,7.2487681740344465,0.8283429529751853,0.081907178389827,0.9902815574742274,0.9969773625796844,UserANNOY,0.1061571125265392
UserANNOY,50,angular,False,9,25,0.1763574770727721,0.2189164644494259,0.7622080679405521,0.0944798301486199,0.117655484757753,0.2961146253193344,402.0,0.2972399150743099,0.0148619957537154,0.1047617021075383,7.574295144724616,0.8537531476490327,0.0845214265166852,0.9521486898461232,0.9897323061783694,UserANNOY,0.0530785562632696
UserANNOY,250,angular,False,9,50,0.1576228172048731,0.201437795605472,0.7133757961783439,0.0874203821656051,0.1043636678852349,0.2595400763046836,187.0,0.0010615711252653,5.307855626326964e-05,0.0607134356918025,6.769493504546095,0.7429755646015174,0.0730465171697024,1.0,0.9999636869721232,UserANNOY,0.2653927813163482
UserANNOY,100,angular,False,9,50,0.1733843103755792,0.2182372972888673,0.7484076433121019,0.0937898089171974,0.1149573698755828,0.2897698684998284,281.0,0.0881104033970276,0.0044055201698513,0.0843148334665223,7.2487681740344465,0.8283429529751853,0.081907178389827,0.9902815574742274,0.9969773625796844,UserANNOY,0.1061571125265392
UserANNOY,250,angular,False,9,25,0.1576228172048731,0.201437795605472,0.7133757961783439,0.0874203821656051,0.1043636678852349,0.2595400763046836,187.0,0.0010615711252653,5.307855626326964e-05,0.0607134356918025,6.769493504546095,0.7429755646015174,0.0730465171697024,1.0,0.9999636869721232,UserANNOY,0.2653927813163482
ItemANNOY,100,angular,False,12,-1,0.1700333010910817,0.2139974090769577,0.7335456475583864,0.091932059447983,0.1152613780548117,0.2859940380309481,395.0,0.3471337579617834,0.0173566878980891,0.1142077936816423,7.679171410451371,0.8492847778652746,0.0851862252356786,0.9527833160670818,0.9879888911264002,ItemANNOY,0.0741839762611275
ItemANNOY,100,angular,False,12,500,0.17259679158011,0.2166766272986915,0.7409766454352441,0.0928874734607218,0.1162321024610641,0.2895262667035557,406.0,0.4033970276008493,0.0201698513800424,0.1155605678735633,7.698694464429693,0.8592180760802128,0.086170940944207,0.9455637253968676,0.9860159543892963,ItemANNOY,0.0741839762611275
ItemANNOY,250,angular,False,12,500,0.1575820408018315,0.1967709461218744,0.7186836518046709,0.0890658174097664,0.1069164801122426,0.2630493391994841,474.0,0.5997876857749469,0.0299893842887473,0.1451497942270073,8.025861084049179,0.8166781296752434,0.0815923341613074,0.9412540713519936,0.9790708970905164,ItemANNOY,0.1854599406528189
ItemANNOY,100,angular,False,12,100,0.1712743019474327,0.2164237455967653,0.7409766454352441,0.0927813163481953,0.1156851979070716,0.2867177817032138,412.0,0.4341825902335456,0.0217091295116772,0.1158170945263279,7.702533371246076,0.8557698999757798,0.0858285600369352,0.9435787990720762,0.9849332867611282,ItemANNOY,0.0741839762611275
ItemANNOY,250,angular,False,12,200,0.1565145994331803,0.1932930976822882,0.7176220806794055,0.0881634819532908,0.1069059044594801,0.2652210922815426,480.0,0.7303609341825902,0.0365180467091295,0.1467930621953004,8.04354874823197,0.8142812792714006,0.0813660804755959,0.9406602906698804,0.9744024828467388,ItemANNOY,0.1853751904128768
