Type,Algorithm,Similarity,Algorithm_Variant,Hypervolume,Points_in_Frontier,Total_Points,Threshold
Item,ItemKNNfairness_interactions-items,jaccard,ItemKNNfairness_interactions-items (jaccard) [th: 0.05],0.0026677465520336206,3,3,0.05
Item,ItemANNOY,cosine,ItemANNOY (cosine) [th: 0.25],0.002589406775344081,3,3,0.25
Item,ItemANNOY,cosine,ItemANNOY (cosine) [th: 0.5],0.002569632663975481,3,3,0.5
Item,ItemANNOY,cosine,ItemANNOY (cosine) [th: 0.95],0.0025633651538487516,3,3,0.95
Item,ItemANNOY,cosine,ItemANNOY (cosine) [th: 0.05],0.0025560761210023145,3,3,0.05
Item,ItemKNNfairness_interactions-users,jaccard,ItemKNNfairness_interactions-users (jaccard) [th: 0.25],0.002515717040275065,3,3,0.25
Item,ItemKNNfairness_interactions-items,cosine,ItemKNNfairness_interactions-items (cosine) [th: 0.75],0.002439709584282751,3,3,0.75
Item,ItemKNNfairness_interactions-users,jaccard,ItemKNNfairness_interactions-users (jaccard) [th: 0.95],0.0024142388813085565,3,3,0.95
Item,ItemANNOY,cosine,ItemANNOY (cosine) [th: 0.75],0.002407692409215499,3,3,0.75
Item,ItemMinhashing,jaccard,ItemMinhashing (jaccard) [th: 0.05],0.0024053687226681837,3,3,0.05
Item,ItemKNNfairness_interactions-items,jaccard,ItemKNNfairness_interactions-items (jaccard) [th: 0.75],0.0023452094226107003,3,3,0.75
Item,ItemMinhashing,jaccard,ItemMinhashing (jaccard) [th: 0.25],0.0023149361488821645,3,3,0.25
Item,ItemKNNfairness_interactions-users,cosine,ItemKNNfairness_interactions-users (cosine) [th: 0.5],0.002303876350818367,3,3,0.5
Item,ItemKNNfairness_interactions-users,cosine,ItemKNNfairness_interactions-users (cosine) [th: 0.95],0.002303876350818367,3,3,0.95
Item,ItemKNNfairness_interactions-items,cosine,ItemKNNfairness_interactions-items (cosine) [th: 0.05],0.0021323340363932648,3,3,0.05
