Type,Algorithm,Similarity,Algorithm_Variant,Hypervolume,Points_in_Frontier,Total_Points,Threshold
Item,ItemKNNfairness_interactions-items,cosine,ItemKNNfairness_interactions-items (cosine) [th: 0.05],0.0532499919549633,3,3,0.05
Item,ItemKNNfairness_interactions-items,cosine,ItemKNNfairness_interactions-items (cosine) [th: 0.25],0.0532499919549633,3,3,0.25
Item,ItemKNNfairness_interactions-items,cosine,ItemKNNfairness_interactions-items (cosine) [th: 0.5],0.0532499919549633,3,3,0.5
Item,ItemKNNfairness_interactions-items,cosine,ItemKNNfairness_interactions-items (cosine) [th: 0.95],0.0532499919549633,3,3,0.95
Item,ItemKNNfairness_interactions-users,cosine,ItemKNNfairness_interactions-users (cosine) [th: 0.05],0.0532499919549633,3,3,0.05
Item,ItemKNNfairness_interactions-users,cosine,ItemKNNfairness_interactions-users (cosine) [th: 0.25],0.0532499919549633,3,3,0.25
Item,ItemKNNfairness_interactions-users,cosine,ItemKNNfairness_interactions-users (cosine) [th: 0.75],0.0532499919549633,3,3,0.75
Item,ItemKNNfairness_interactions-items,cosine,ItemKNNfairness_interactions-items (cosine) [th: 0.75],0.04669564659556252,3,3,0.75
Item,ItemKNNfairness_interactions-users,cosine,ItemKNNfairness_interactions-users (cosine) [th: 0.5],0.043452922892384116,3,3,0.5
Item,ItemKNNfairness_interactions-users,cosine,ItemKNNfairness_interactions-users (cosine) [th: 0.95],0.043452922892384116,3,3,0.95
Item,ItemKNNfairness_interactions-items,jaccard,ItemKNNfairness_interactions-items (jaccard) [th: 0.05],0.04095026312304089,3,3,0.05
Item,ItemFairANN_uniform,cosine,ItemFairANN_uniform (cosine) [th: 0.25],0.0407183350226767,3,3,0.25
Item,ItemFairANN_uniform,cosine,ItemFairANN_uniform (cosine) [th: 0.5],0.03817195844678475,3,3,0.5
Item,ItemFairANN_rank,cosine,ItemFairANN_rank (cosine) [th: 0.5],0.038169449008559175,3,3,0.5
Item,ItemFairANN_approx_degree,cosine,ItemFairANN_approx_degree (cosine) [th: 0.5],0.03806286805805352,3,3,0.5
Item,ItemFairANN_opt,cosine,ItemFairANN_opt (cosine) [th: 0.5],0.03734066629645493,3,3,0.5
Item,ItemKNNfairness_interactions-users,jaccard,ItemKNNfairness_interactions-users (jaccard) [th: 0.25],0.03723632790370782,3,3,0.25
Item,ItemKNNfairness_interactions-users,jaccard,ItemKNNfairness_interactions-users (jaccard) [th: 0.95],0.0361271440368612,3,3,0.95
Item,ItemKNNfairness_interactions-items,jaccard,ItemKNNfairness_interactions-items (jaccard) [th: 0.25],0.035808416658437855,3,3,0.25
Item,ItemKNNfairness_interactions-items,jaccard,ItemKNNfairness_interactions-items (jaccard) [th: 0.5],0.035808416658437855,3,3,0.5
Item,ItemKNNfairness_interactions-items,jaccard,ItemKNNfairness_interactions-items (jaccard) [th: 0.95],0.035808416658437855,3,3,0.95
Item,ItemKNNfairness_interactions-users,jaccard,ItemKNNfairness_interactions-users (jaccard) [th: 0.05],0.035808416658437855,3,3,0.05
Item,ItemKNNfairness_interactions-users,jaccard,ItemKNNfairness_interactions-users (jaccard) [th: 0.5],0.035808416658437855,3,3,0.5
Item,ItemKNNfairness_interactions-users,jaccard,ItemKNNfairness_interactions-users (jaccard) [th: 0.75],0.035808416658437855,3,3,0.75
Item,ItemLSHRandomProjection,cosine,ItemLSHRandomProjection (cosine) [th: 0.5],0.03406382365762548,3,3,0.5
Item,ItemKNNfairness_interactions-items,jaccard,ItemKNNfairness_interactions-items (jaccard) [th: 0.75],0.03401602214332885,2,3,0.75
Item,ItemFairANN_opt,cosine,ItemFairANN_opt (cosine) [th: 0.25],0.03384433520173311,3,3,0.25
Item,ItemFairANN_approx_degree,cosine,ItemFairANN_approx_degree (cosine) [th: 0.25],0.0332812117762348,3,3,0.25
Item,ItemFairANN_uniform,cosine,ItemFairANN_uniform (cosine) [th: 0.75],0.03311873599114689,3,3,0.75
Item,ItemFairANN_uniform,cosine,ItemFairANN_uniform (cosine) [th: 0.05],0.03113833342987121,3,3,0.05
Item,ItemFairANN_rank,cosine,ItemFairANN_rank (cosine) [th: 0.25],0.030747891450378997,3,3,0.25
Item,ItemFairANN_rank,jaccard,ItemFairANN_rank (jaccard) [th: 0.75],0.029818039129453813,3,3,0.75
Item,ItemFairANN_rank,cosine,ItemFairANN_rank (cosine) [th: 0.75],0.02901356543132666,3,3,0.75
Item,ItemFairANN_approx_degree,cosine,ItemFairANN_approx_degree (cosine) [th: 0.05],0.025752933536665093,3,3,0.05
Item,ItemFairANN_approx_degree,cosine,ItemFairANN_approx_degree (cosine) [th: 0.75],0.025573195188362558,3,3,0.75
Item,ItemFairANN_uniform,cosine,ItemFairANN_uniform (cosine) [th: 0.95],0.025275734320691218,3,3,0.95
Item,ItemFairANN_opt,cosine,ItemFairANN_opt (cosine) [th: 0.95],0.025097269319233183,3,3,0.95
Item,ItemFairANN_approx_degree,cosine,ItemFairANN_approx_degree (cosine) [th: 0.95],0.024948259876960054,3,3,0.95
Item,ItemFairANN_opt,cosine,ItemFairANN_opt (cosine) [th: 0.75],0.02494640049657814,3,3,0.75
Item,ItemFairANN_rank,cosine,ItemFairANN_rank (cosine) [th: 0.95],0.02493999627782513,3,3,0.95
Item,ItemLSHRandomProjection,cosine,ItemLSHRandomProjection (cosine) [th: 0.95],0.024923116888220295,3,3,0.95
Item,ItemFairANN_uniform,jaccard,ItemFairANN_uniform (jaccard) [th: 0.75],0.024915100188796113,3,3,0.75
Item,ItemFairANN_opt,jaccard,ItemFairANN_opt (jaccard) [th: 0.75],0.024087015746977032,3,3,0.75
Item,ItemFairANN_approx_degree,jaccard,ItemFairANN_approx_degree (jaccard) [th: 0.75],0.02368051923083299,3,3,0.75
Item,ItemLSHRandomProjection,cosine,ItemLSHRandomProjection (cosine) [th: 0.75],0.023484223323485567,3,3,0.75
Item,ItemFairANN_uniform,jaccard,ItemFairANN_uniform (jaccard) [th: 0.25],0.022179270903076493,2,3,0.25
Item,ItemFairANN_opt,cosine,ItemFairANN_opt (cosine) [th: 0.05],0.021837159483607756,2,3,0.05
Item,ItemFairANN_approx_degree,jaccard,ItemFairANN_approx_degree (jaccard) [th: 0.25],0.02167056457453293,2,3,0.25
Item,ItemFairANN_opt,jaccard,ItemFairANN_opt (jaccard) [th: 0.25],0.021449037452203414,3,3,0.25
Item,ItemFairANN_uniform,jaccard,ItemFairANN_uniform (jaccard) [th: 0.5],0.021272411549112667,2,3,0.5
Item,ItemFairANN_approx_degree,jaccard,ItemFairANN_approx_degree (jaccard) [th: 0.5],0.021256047467622472,2,3,0.5
Item,ItemFairANN_uniform,jaccard,ItemFairANN_uniform (jaccard) [th: 0.05],0.021138642955488927,1,3,0.05
Item,ItemFairANN_rank,jaccard,ItemFairANN_rank (jaccard) [th: 0.5],0.021083520183208918,2,3,0.5
Item,ItemFairANN_uniform,jaccard,ItemFairANN_uniform (jaccard) [th: 0.95],0.02085148045506469,3,3,0.95
Item,ItemFairANN_opt,jaccard,ItemFairANN_opt (jaccard) [th: 0.5],0.020843833419112594,2,3,0.5
Item,ItemFairANN_approx_degree,jaccard,ItemFairANN_approx_degree (jaccard) [th: 0.05],0.02076154588607577,3,3,0.05
Item,ItemFairANN_rank,jaccard,ItemFairANN_rank (jaccard) [th: 0.05],0.02063289559467608,3,3,0.05
Item,ItemFairANN_opt,jaccard,ItemFairANN_opt (jaccard) [th: 0.95],0.020631976826326014,1,3,0.95
Item,ItemFairANN_opt,jaccard,ItemFairANN_opt (jaccard) [th: 0.05],0.020534809913064552,1,3,0.05
Item,ItemFairANN_approx_degree,jaccard,ItemFairANN_approx_degree (jaccard) [th: 0.95],0.020468964181001442,2,3,0.95
Item,ItemFairANN_rank,jaccard,ItemFairANN_rank (jaccard) [th: 0.95],0.020459228173400845,2,3,0.95
Item,ItemMinhashing,jaccard,ItemMinhashing (jaccard) [th: 0.95],0.020459228173400845,3,3,0.95
Item,ItemMinhashing,jaccard,ItemMinhashing (jaccard) [th: 0.75],0.020257749791139194,2,3,0.75
Item,ItemFairANN_rank,cosine,ItemFairANN_rank (cosine) [th: 0.05],0.02005053489842459,3,3,0.05
Item,ItemFairANN_rank,jaccard,ItemFairANN_rank (jaccard) [th: 0.25],0.019832731743338525,3,3,0.25
Item,ItemANNfaissLSH,cosine,ItemANNfaissLSH (cosine) [th: 0.25],0.012713018923258466,3,3,0.25
Item,ItemANNfaissLSH,cosine,ItemANNfaissLSH (cosine) [th: 0.75],0.01232147573545819,3,3,0.75
Item,ItemANNfaissLSH,cosine,ItemANNfaissLSH (cosine) [th: 0.95],0.012243880642233326,3,3,0.95
Item,ItemANNfaissLSH,cosine,ItemANNfaissLSH (cosine) [th: 0.05],0.011707555804260025,2,3,0.05
