Type,Algorithm,Similarity,Algorithm_Variant,Hypervolume,Points_in_Frontier,Total_Points,Threshold
Item,ItemANNOY,cosine,ItemANNOY (cosine) [th: 0.25],0.1816647331633681,1,3,0.25
Item,ItemANNOY,cosine,ItemANNOY (cosine) [th: 0.5],0.18081739961460855,1,3,0.5
Item,ItemANNOY,cosine,ItemANNOY (cosine) [th: 0.05],0.1806309418729363,1,3,0.05
Item,ItemANNOY,cosine,ItemANNOY (cosine) [th: 0.75],0.17829707943986797,1,3,0.75
Item,ItemANNOY,cosine,ItemANNOY (cosine) [th: 0.95],0.16919698922127288,1,3,0.95
Item,ItemMinhashing,jaccard,ItemMinhashing (jaccard) [th: 0.75],0.09586750930023484,1,3,0.75
Item,ItemFairANN_opt,jaccard,ItemFairANN_opt (jaccard) [th: 0.75],0.09105735015727742,3,3,0.75
Item,ItemFairANN_approx_degree,jaccard,ItemFairANN_approx_degree (jaccard) [th: 0.75],0.09102472273954418,3,3,0.75
Item,ItemFairANN_uniform,jaccard,ItemFairANN_uniform (jaccard) [th: 0.75],0.09019156011670737,3,3,0.75
Item,ItemFairANN_rank,jaccard,ItemFairANN_rank (jaccard) [th: 0.75],0.09007256085229558,3,3,0.75
Item,ItemFairANN_approx_degree,cosine,ItemFairANN_approx_degree (cosine) [th: 0.5],0.08713060532689697,3,3,0.5
Item,ItemLSHRandomProjection,cosine,ItemLSHRandomProjection (cosine) [th: 0.5],0.0859982240803148,1,3,0.5
Item,ItemFairANN_opt,cosine,ItemFairANN_opt (cosine) [th: 0.5],0.08462502605694948,3,3,0.5
Item,ItemFairANN_uniform,cosine,ItemFairANN_uniform (cosine) [th: 0.5],0.08299544055594185,3,3,0.5
Item,ItemFairANN_uniform,cosine,ItemFairANN_uniform (cosine) [th: 0.25],0.07468504870802714,3,3,0.25
Item,ItemFairANN_approx_degree,cosine,ItemFairANN_approx_degree (cosine) [th: 0.75],0.07270724040018214,3,3,0.75
Item,ItemFairANN_opt,cosine,ItemFairANN_opt (cosine) [th: 0.75],0.07263872690434342,3,3,0.75
Item,ItemLSHRandomProjection,cosine,ItemLSHRandomProjection (cosine) [th: 0.75],0.07252830943380141,2,3,0.75
Item,ItemFairANN_rank,cosine,ItemFairANN_rank (cosine) [th: 0.75],0.07191567666643738,3,3,0.75
Item,ItemFairANN_uniform,cosine,ItemFairANN_uniform (cosine) [th: 0.75],0.07122362354764232,3,3,0.75
Item,ItemFairANN_rank,cosine,ItemFairANN_rank (cosine) [th: 0.5],0.07068387188317392,3,3,0.5
Item,ItemFairANN_uniform,jaccard,ItemFairANN_uniform (jaccard) [th: 0.95],0.06665161361555703,1,3,0.95
Item,ItemFairANN_opt,jaccard,ItemFairANN_opt (jaccard) [th: 0.95],0.06541970453691838,1,3,0.95
Item,ItemFairANN_approx_degree,jaccard,ItemFairANN_approx_degree (jaccard) [th: 0.95],0.06540655657773611,2,3,0.95
Item,ItemFairANN_rank,jaccard,ItemFairANN_rank (jaccard) [th: 0.95],0.06537444399106987,2,3,0.95
Item,ItemMinhashing,jaccard,ItemMinhashing (jaccard) [th: 0.95],0.06537373163786946,3,3,0.95
Item,ItemFairANN_approx_degree,cosine,ItemFairANN_approx_degree (cosine) [th: 0.25],0.057129279329303465,3,3,0.25
Item,ItemFairANN_opt,cosine,ItemFairANN_opt (cosine) [th: 0.25],0.052768171506888104,3,3,0.25
Item,ItemFairANN_uniform,cosine,ItemFairANN_uniform (cosine) [th: 0.05],0.04431770046569793,3,3,0.05
Item,ItemMinhashing,jaccard,ItemMinhashing (jaccard) [th: 0.5],0.04396572917668685,1,3,0.5
Item,ItemFairANN_opt,cosine,ItemFairANN_opt (cosine) [th: 0.95],0.0402439916623124,2,3,0.95
Item,ItemFairANN_uniform,cosine,ItemFairANN_uniform (cosine) [th: 0.95],0.040195718962885756,3,3,0.95
Item,ItemFairANN_approx_degree,cosine,ItemFairANN_approx_degree (cosine) [th: 0.95],0.04019002862754703,2,3,0.95
Item,ItemFairANN_rank,cosine,ItemFairANN_rank (cosine) [th: 0.95],0.040189495130750326,2,3,0.95
Item,ItemLSHRandomProjection,cosine,ItemLSHRandomProjection (cosine) [th: 0.95],0.04018781055053785,3,3,0.95
Item,ItemFairANN_rank,cosine,ItemFairANN_rank (cosine) [th: 0.25],0.038726420847454306,3,3,0.25
Item,ItemFairANN_uniform,jaccard,ItemFairANN_uniform (jaccard) [th: 0.25],0.03797182612540039,2,3,0.25
Item,ItemFairANN_uniform,jaccard,ItemFairANN_uniform (jaccard) [th: 0.05],0.03753218874792198,2,3,0.05
Item,ItemFairANN_opt,jaccard,ItemFairANN_opt (jaccard) [th: 0.25],0.03542367191531404,1,3,0.25
Item,ItemFairANN_approx_degree,jaccard,ItemFairANN_approx_degree (jaccard) [th: 0.25],0.03502603614990472,2,3,0.25
Item,ItemFairANN_uniform,jaccard,ItemFairANN_uniform (jaccard) [th: 0.5],0.03384438547847191,1,3,0.5
Item,ItemFairANN_rank,jaccard,ItemFairANN_rank (jaccard) [th: 0.5],0.03357469659909598,1,3,0.5
Item,ItemFairANN_opt,jaccard,ItemFairANN_opt (jaccard) [th: 0.5],0.03340706145326208,2,3,0.5
Item,ItemFairANN_approx_degree,jaccard,ItemFairANN_approx_degree (jaccard) [th: 0.5],0.03301759027460033,1,3,0.5
Item,ItemFairANN_opt,jaccard,ItemFairANN_opt (jaccard) [th: 0.05],0.03193633774041324,3,3,0.05
Item,ItemFairANN_approx_degree,cosine,ItemFairANN_approx_degree (cosine) [th: 0.05],0.03190184021828208,3,3,0.05
Item,ItemFairANN_rank,jaccard,ItemFairANN_rank (jaccard) [th: 0.05],0.03175714642970783,1,3,0.05
Item,ItemFairANN_rank,jaccard,ItemFairANN_rank (jaccard) [th: 0.25],0.03125822339658441,1,3,0.25
