Type,Algorithm,Similarity,Algorithm_Variant,Hypervolume,Points_in_Frontier,Total_Points,Threshold
Item,ItemFairANN_approx_degree,cosine,ItemFairANN_approx_degree (cosine) [th: 0.25],0.035041093805879386,3,3,0.25
Item,ItemFairANN_uniform,cosine,ItemFairANN_uniform (cosine) [th: 0.25],0.03401415903825872,3,3,0.25
Item,ItemFairANN_rank,cosine,ItemFairANN_rank (cosine) [th: 0.5],0.03345151182894226,3,3,0.5
Item,ItemFairANN_rank,cosine,ItemFairANN_rank (cosine) [th: 0.25],0.032645227290398406,3,3,0.25
Item,ItemFairANN_opt,cosine,ItemFairANN_opt (cosine) [th: 0.25],0.031028959785864903,3,3,0.25
Item,ItemFairANN_uniform,cosine,ItemFairANN_uniform (cosine) [th: 0.05],0.030396236387177103,3,3,0.05
Item,ItemFairANN_rank,jaccard,ItemFairANN_rank (jaccard) [th: 0.5],0.030073187781756643,1,3,0.5
Item,ItemFairANN_approx_degree,cosine,ItemFairANN_approx_degree (cosine) [th: 0.5],0.03005052434020599,3,3,0.5
Item,ItemFairANN_approx_degree,jaccard,ItemFairANN_approx_degree (jaccard) [th: 0.05],0.02946562075314857,3,3,0.05
Item,ItemFairANN_approx_degree,jaccard,ItemFairANN_approx_degree (jaccard) [th: 0.5],0.028300222095371832,2,3,0.5
Item,ItemFairANN_opt,jaccard,ItemFairANN_opt (jaccard) [th: 0.05],0.02827508095367007,3,3,0.05
Item,ItemFairANN_opt,jaccard,ItemFairANN_opt (jaccard) [th: 0.5],0.028146834204050692,2,3,0.5
Item,ItemFairANN_opt,cosine,ItemFairANN_opt (cosine) [th: 0.5],0.027664124317182386,3,3,0.5
Item,ItemFairANN_opt,jaccard,ItemFairANN_opt (jaccard) [th: 0.25],0.02765549211709295,2,3,0.25
Item,ItemFairANN_uniform,jaccard,ItemFairANN_uniform (jaccard) [th: 0.5],0.027079835762970673,2,3,0.5
Item,ItemFairANN_approx_degree,cosine,ItemFairANN_approx_degree (cosine) [th: 0.05],0.026824834246310086,3,3,0.05
Item,ItemFairANN_approx_degree,jaccard,ItemFairANN_approx_degree (jaccard) [th: 0.25],0.02561736813921363,2,3,0.25
Item,ItemFairANN_rank,jaccard,ItemFairANN_rank (jaccard) [th: 0.05],0.025522568687000962,1,3,0.05
Item,ItemFairANN_uniform,cosine,ItemFairANN_uniform (cosine) [th: 0.5],0.02497814578587142,3,3,0.5
Item,ItemFairANN_rank,jaccard,ItemFairANN_rank (jaccard) [th: 0.25],0.02495318732505963,3,3,0.25
Item,ItemFairANN_uniform,jaccard,ItemFairANN_uniform (jaccard) [th: 0.05],0.024172971189736273,2,3,0.05
Item,ItemFairANN_uniform,jaccard,ItemFairANN_uniform (jaccard) [th: 0.25],0.02382362641372546,2,3,0.25
