Type,Algorithm,Similarity,Algorithm_Variant,Hypervolume,Points_in_Frontier,Total_Points
Item,ItemKNNfairness_interactions-items,cosine,ItemKNNfairness_interactions-items (cosine),0.06415263163097133,22,30
Item,ItemKNNfairness_interactions-users,cosine,ItemKNNfairness_interactions-users (cosine),0.05693021989805971,30,30
Item,ItemFairANN_uniform,cosine,ItemFairANN_uniform (cosine),0.04727779586918499,12,15
Item,ItemFairANN_opt,cosine,ItemFairANN_opt (cosine),0.046700100526099755,13,15
Item,ItemFairANN_approx_degree,cosine,ItemFairANN_approx_degree (cosine),0.04598204402092926,14,15
Item,ItemFairANN_no_sampling,cosine,ItemFairANN_no_sampling (cosine),0.04585771550807169,12,15
Item,ItemFairANN_rank,cosine,ItemFairANN_rank (cosine),0.04486772660282756,14,15
Item,ItemKNNfairness_interactions-items,jaccard,ItemKNNfairness_interactions-items (jaccard),0.042345365998581394,20,30
Item,ItemFairANN_rank,jaccard,ItemFairANN_rank (jaccard),0.03942646554737042,7,15
Item,ItemFairANN_approx_degree,jaccard,ItemFairANN_approx_degree (jaccard),0.0388072618123321,10,15
Item,ItemFairANN_uniform,jaccard,ItemFairANN_uniform (jaccard),0.038664367687110825,11,15
Item,ItemFairANN_opt,jaccard,ItemFairANN_opt (jaccard),0.03820925531487211,7,15
Item,ItemKNNfairness_interactions-users,jaccard,ItemKNNfairness_interactions-users (jaccard),0.037788311986542006,30,30
Item,ItemFairANN_no_sampling,jaccard,ItemFairANN_no_sampling (jaccard),0.02958986555894333,9,15
Item,ItemANNfaissLSH,cosine,ItemANNfaissLSH (cosine),0.012967865708159047,5,15
Item,ItemANNOY,angular,ItemANNOY (angular),0.011770245962159687,6,15
Item,ItemKNN,cosine,ItemKNN (cosine),0.0029689092192872156,15,15
Item,ItemKNN,jaccard,ItemKNN (jaccard),0.0025473643244115804,15,15
User,UserFairANN_uniform,cosine,UserFairANN_uniform (cosine),0.021137327670716646,13,15
User,UserFairANN_no_sampling,cosine,UserFairANN_no_sampling (cosine),0.02037376757963547,11,15
User,UserFairANN_rank,cosine,UserFairANN_rank (cosine),0.02003122710707845,12,15
User,UserFairANN_approx_degree,cosine,UserFairANN_approx_degree (cosine),0.019871529463190735,10,15
User,UserFairANN_opt,cosine,UserFairANN_opt (cosine),0.019860446555335767,13,15
User,UserFairANN_no_sampling,jaccard,UserFairANN_no_sampling (jaccard),0.015269634870493853,4,15
User,UserFairANN_uniform,jaccard,UserFairANN_uniform (jaccard),0.013413858074486945,4,15
User,UserFairANN_approx_degree,jaccard,UserFairANN_approx_degree (jaccard),0.013390475370175577,6,15
User,UserFairANN_rank,jaccard,UserFairANN_rank (jaccard),0.01338178396815069,5,15
User,UserFairANN_opt,jaccard,UserFairANN_opt (jaccard),0.013381665206057047,6,15
User,UserANNfaissLSH,cosine,UserANNfaissLSH (cosine),0.01304637076460018,8,15
User,UserKNN,jaccard,UserKNN (jaccard),0.01217184822730638,15,15
User,UserKNNfairness_interactions-items,jaccard,UserKNNfairness_interactions-items (jaccard),0.01217184822730638,30,30
User,UserKNNfairness_interactions-users,jaccard,UserKNNfairness_interactions-users (jaccard),0.01217184822730638,30,30
User,UserKNN,cosine,UserKNN (cosine),0.010788793817865218,15,15
User,UserKNNfairness_interactions-items,cosine,UserKNNfairness_interactions-items (cosine),0.010788793817865218,30,30
User,UserKNNfairness_interactions-users,cosine,UserKNNfairness_interactions-users (cosine),0.010788793817865218,30,30
User,UserANNOY,angular,UserANNOY (angular),0.0046332188036563755,5,15
