Type,Algorithm,Similarity,Algorithm_Variant,Hypervolume,Points_in_Frontier,Total_Points
Item,ItemANNOY,angular,ItemANNOY (angular),0.1816647331633681,1,15
Item,ItemFairANN_no_sampling,jaccard,ItemFairANN_no_sampling (jaccard),0.11739011428791138,7,15
Item,ItemFairANN_opt,jaccard,ItemFairANN_opt (jaccard),0.09247621516686026,4,15
Item,ItemFairANN_approx_degree,jaccard,ItemFairANN_approx_degree (jaccard),0.0924405996431719,5,15
Item,ItemFairANN_rank,jaccard,ItemFairANN_rank (jaccard),0.09148455158449625,5,15
Item,ItemFairANN_uniform,jaccard,ItemFairANN_uniform (jaccard),0.0913702655780383,4,15
Item,ItemFairANN_no_sampling,cosine,ItemFairANN_no_sampling (cosine),0.09135076232081873,6,15
Item,ItemFairANN_approx_degree,cosine,ItemFairANN_approx_degree (cosine),0.089427603163564,6,15
Item,ItemFairANN_opt,cosine,ItemFairANN_opt (cosine),0.0870427275477409,6,15
Item,ItemFairANN_uniform,cosine,ItemFairANN_uniform (cosine),0.08388726702500361,8,15
Item,ItemFairANN_rank,cosine,ItemFairANN_rank (cosine),0.07347989106914533,6,15
Item,ItemANNfaissLSH,cosine,ItemANNfaissLSH (cosine),0.00805308208311137,3,15
Item,ItemKNN,jaccard,ItemKNN (jaccard),0.0017475500182725706,5,15
Item,ItemKNN,cosine,ItemKNN (cosine),0.0017475467363015655,5,15
Item,ItemKNNfairness_interactions-users,cosine,ItemKNNfairness_interactions-users (cosine),0.0015512842569846736,4,30
Item,ItemKNNfairness_interactions-users,jaccard,ItemKNNfairness_interactions-users (jaccard),0.0015414905533257955,2,30
Item,ItemKNNfairness_interactions-items,cosine,ItemKNNfairness_interactions-items (cosine),0.0013568019110663213,2,30
Item,ItemKNNfairness_interactions-items,jaccard,ItemKNNfairness_interactions-items (jaccard),0.001297394805515268,4,30
User,UserANNOY,angular,UserANNOY (angular),0.17832946601161173,5,15
User,UserFairANN_no_sampling,jaccard,UserFairANN_no_sampling (jaccard),0.1417274805923505,7,15
User,UserFairANN_approx_degree,jaccard,UserFairANN_approx_degree (jaccard),0.12264505363473888,6,15
User,UserFairANN_rank,jaccard,UserFairANN_rank (jaccard),0.12240276158452384,6,15
User,UserFairANN_opt,jaccard,UserFairANN_opt (jaccard),0.12219836082288386,6,15
User,UserFairANN_uniform,jaccard,UserFairANN_uniform (jaccard),0.1221369761397002,6,15
User,UserFairANN_approx_degree,cosine,UserFairANN_approx_degree (cosine),0.09875055143991288,11,15
User,UserFairANN_uniform,cosine,UserFairANN_uniform (cosine),0.09794329307824057,15,15
User,UserFairANN_opt,cosine,UserFairANN_opt (cosine),0.0976594512071731,12,15
User,UserFairANN_rank,cosine,UserFairANN_rank (cosine),0.09559167474345825,10,15
User,UserFairANN_no_sampling,cosine,UserFairANN_no_sampling (cosine),0.09126758121166456,8,15
User,UserANNfaissLSH,cosine,UserANNfaissLSH (cosine),0.032727157879594654,6,15
User,UserKNN,jaccard,UserKNN (jaccard),0.0013263920804523041,5,15
User,UserKNNfairness_interactions-items,jaccard,UserKNNfairness_interactions-items (jaccard),0.0013263920804523041,10,30
User,UserKNNfairness_interactions-users,jaccard,UserKNNfairness_interactions-users (jaccard),0.0013263920804523041,10,30
User,UserKNN,cosine,UserKNN (cosine),0.0013094907072683942,5,15
User,UserKNNfairness_interactions-items,cosine,UserKNNfairness_interactions-items (cosine),0.0013094907072683942,10,30
User,UserKNNfairness_interactions-users,cosine,UserKNNfairness_interactions-users (cosine),0.0013094907072683942,10,30
