Type,Algorithm,Similarity,Algorithm_Variant,Hypervolume,Points_in_Frontier,Total_Points
Item,ItemFairANN_approx_degree,jaccard,ItemFairANN_approx_degree (jaccard),0.04284401695364601,12,15
Item,ItemFairANN_approx_degree,cosine,ItemFairANN_approx_degree (cosine),0.04266452720726449,12,15
Item,ItemFairANN_uniform,cosine,ItemFairANN_uniform (cosine),0.04266383128497906,15,15
Item,ItemFairANN_rank,cosine,ItemFairANN_rank (cosine),0.04254545875930753,12,15
Item,ItemFairANN_opt,jaccard,ItemFairANN_opt (jaccard),0.042052036876580934,8,15
Item,ItemFairANN_opt,cosine,ItemFairANN_opt (cosine),0.04093134373873132,12,15
Item,ItemFairANN_rank,jaccard,ItemFairANN_rank (jaccard),0.04068931966825122,6,15
Item,ItemFairANN_uniform,jaccard,ItemFairANN_uniform (jaccard),0.03973321151154753,10,15
Item,ItemFairANN_no_sampling,cosine,ItemFairANN_no_sampling (cosine),0.021378660798912784,8,15
Item,ItemFairANN_no_sampling,jaccard,ItemFairANN_no_sampling (jaccard),0.018600922277281166,11,15
Item,ItemANNOY,angular,ItemANNOY (angular),0.018542938953418197,3,15
Item,ItemANNfaissLSH,cosine,ItemANNfaissLSH (cosine),0.002131169027519524,5,15
Item,ItemKNNfairness_interactions-items,cosine,ItemKNNfairness_interactions-items (cosine),0.0008431363397766518,14,30
Item,ItemKNNfairness_interactions-items,jaccard,ItemKNNfairness_interactions-items (jaccard),0.0007643603863779095,6,30
Item,ItemKNNfairness_interactions-users,cosine,ItemKNNfairness_interactions-users (cosine),0.0006054881771040972,30,30
Item,ItemKNNfairness_interactions-users,jaccard,ItemKNNfairness_interactions-users (jaccard),0.0004937791977206517,28,30
Item,ItemKNN,cosine,ItemKNN (cosine),5.081316284326098e-05,15,15
Item,ItemKNN,jaccard,ItemKNN (jaccard),4.7630241699399864e-05,15,15
User,UserFairANN_uniform,cosine,UserFairANN_uniform (cosine),0.027607276986458953,15,15
User,UserFairANN_rank,cosine,UserFairANN_rank (cosine),0.02572706508511287,13,15
User,UserFairANN_no_sampling,cosine,UserFairANN_no_sampling (cosine),0.025716259438296408,12,15
User,UserFairANN_opt,cosine,UserFairANN_opt (cosine),0.025636817999515036,12,15
User,UserFairANN_approx_degree,cosine,UserFairANN_approx_degree (cosine),0.02562806482398379,12,15
User,UserFairANN_no_sampling,jaccard,UserFairANN_no_sampling (jaccard),0.014859211512881948,7,15
User,UserFairANN_uniform,jaccard,UserFairANN_uniform (jaccard),0.014160896049031098,6,15
User,UserFairANN_approx_degree,jaccard,UserFairANN_approx_degree (jaccard),0.01404530904971281,6,15
User,UserFairANN_rank,jaccard,UserFairANN_rank (jaccard),0.014026372337045338,6,15
User,UserFairANN_opt,jaccard,UserFairANN_opt (jaccard),0.014008089485341916,6,15
User,UserANNOY,angular,UserANNOY (angular),0.010316593247812979,5,15
User,UserANNfaissLSH,cosine,UserANNfaissLSH (cosine),0.007516536146796135,13,15
User,UserKNN,cosine,UserKNN (cosine),0.00016190331147673579,15,15
User,UserKNNfairness_interactions-items,cosine,UserKNNfairness_interactions-items (cosine),0.00016190331147673579,30,30
User,UserKNNfairness_interactions-users,cosine,UserKNNfairness_interactions-users (cosine),0.00016190331147673579,30,30
User,UserKNN,jaccard,UserKNN (jaccard),0.00015000338040459997,15,15
User,UserKNNfairness_interactions-items,jaccard,UserKNNfairness_interactions-items (jaccard),0.00015000338040459997,30,30
User,UserKNNfairness_interactions-users,jaccard,UserKNNfairness_interactions-users (jaccard),0.00015000338040459997,30,30
